asset;date;open;high;low;close;business;volume
WDOFUT;22/04/2021;5785,03;5790,76;5663,25;5670,54;2,233971922E11;4067590
WDOFUT;20/04/2021;5798,56;5820,42;5731,43;5800,13;1,989520121E11;3590122
WDOFUT;19/04/2021;5803,25;5855,81;5757,45;5775,67;2,001271751E11;3589969
WDOFUT;16/04/2021;5849,57;5914,10;5798,56;5819,90;1,854231308E11;3296260
WDOFUT;15/04/2021;5890,16;5900,05;5830,31;5851,65;1,809957779E11;3216143
WDOFUT;14/04/2021;5941,16;5976,03;5882,35;5893,28;2,061475308E11;3619466
WDOFUT;13/04/2021;5974,99;5998,41;5900,57;5956,77;2,140365175E11;3745827
WDOFUT;12/04/2021;5916,18;5983,83;5867,78;5977,59;1,756463093E11;3088379
WDOFUT;09/04/2021;5833,95;5929,71;5828,75;5929,71;1,639971118E11;2899799
WDOFUT;08/04/2021;5844,36;5854,77;5772,54;5806,37;1,757777613E11;3145805
WDOFUT;07/04/2021;5825,63;5894,32;5783,47;5855,29;1,967778734E11;3510214
WDOFUT;06/04/2021;5906,81;5910,45;5811,05;5828,23;1,681884313E11;2987479
WDOFUT;05/04/2021;5910,45;5925,03;5872,46;5903,69;1,511574536E11;2665972
WDOFUT;01/04/2021;5865,18;5971,34;5845,92;5952,09;1,562847251E11;2745472
WDOFUT;31/03/2021;6008,82;6014,02;5860,49;5871,42;1,967377251E11;3454863
WDOFUT;30/03/2021;6030,17;6051,02;5965,53;6019,74;1,785695488E11;3099376
WDOFUT;29/03/2021;6012,45;6053,63;5981,17;6029,13;1,735191761E11;3004080
WDOFUT;26/03/2021;5894,64;6004,11;5885,77;6002,02;1,73822857E11;3041981
WDOFUT;25/03/2021;5867,01;5925,39;5858,67;5891,51;1,988849024E11;3518616
WDOFUT;24/03/2021;5744,51;5884,21;5726,26;5867,53;2,108037932E11;3792318
WDOFUT;23/03/2021;5777,87;5789,34;5699,68;5762,75;1,993187564E11;3618946
WDOFUT;22/03/2021;5744,51;5785,69;5730,95;5748,68;1,542795799E11;2792616
WDOFUT;19/03/2021;5765,36;5789,34;5683,52;5725,74;1,913281706E11;3477855
WDOFUT;18/03/2021;5742,42;5821,66;5713,23;5801,85;1,9910664E11;3590103
WDOFUT;17/03/2021;5906,10;5928,00;5810,19;5823,74;1,79742622E11;3186900
WDOFUT;16/03/2021;5870,66;5879,00;5798,72;5867,53;1,835039132E11;3279675
WDOFUT;15/03/2021;5796,64;5901,41;5772,14;5860,23;1,957451483E11;3483879
WDOFUT;12/03/2021;5814,88;5824,26;5786,21;5792,99;1,445456771E11;2595323
WDOFUT;11/03/2021;5833,13;5866,49;5767,44;5778,39;1,855422814E11;3324160
WDOFUT;10/03/2021;6048,41;6067,18;5889,95;5920,18;2,314162933E11;4035018
WDOFUT;09/03/2021;6088,55;6130,26;6019,74;6055,19;2,118458344E11;3633496
WDOFUT;08/03/2021;5984,30;6132,86;5953,02;6132,86;2,067567696E11;3592585
WDOFUT;05/03/2021;5924,87;5970,74;5898,29;5939,47;1,66877561E11;2931345
WDOFUT;04/03/2021;5828,96;5932,17;5786,21;5916,53;2,377459064E11;4234743
WDOFUT;03/03/2021;5935,82;6025,48;5824,26;5861,27;2,257629106E11;3943485
WDOFUT;02/03/2021;5914,45;5984,82;5888,90;5928,00;2,111419362E11;3707584
WDOFUT;01/03/2021;5831,04;5890,47;5799,76;5887,86;1,740020132E11;3109610
WDOFUT;26/02/2021;5772,14;5867,01;5731,48;5848,76;1,928587702E11;3471869
